"","departamento_inei","departamento","provincia_inei","provincia","Nro","Poblacion18","Avance"
"179","22","SAN MARTIN","2204","HUALLAGA",17522,21968,79.7614712308813
"180","22","SAN MARTIN","2205","LAMAS",51778,64230,80.6134205200062
"181","22","SAN MARTIN","2206","MARISCAL CACERES",35325,48067,73.4911685771943
"182","22","SAN MARTIN","2207","PICOTA",25558,32384,78.9216897233202
"183","22","SAN MARTIN","2208","RIOJA",65449,98703,66.3090280943842
"184","22","SAN MARTIN","2209","SAN MARTIN",126462,147949,85.4767521240427
"185","22","SAN MARTIN","2210","TOCACHE",41779,56990,73.3093525179856
"186","23","TACNA","2301","TACNA",196421,261880,75.0042003971285
"187","23","TACNA","2302","CANDARAVE",4868,6385,76.2411902897416
"188","23","TACNA","2303","JORGE BASADRE",7510,9242,81.2594676476953
"189","23","TACNA","2304","TARATA",5103,6660,76.6216216216216
"190","24","TUMBES","2401","TUMBES",94701,118244,80.0894759987822
"191","24","TUMBES","2402","CONTRALMIRANTE VILLAR",12401,15364,80.7146576412393
"192","24","TUMBES","2403","ZARUMILLA",25193,35668,70.6319389929348
"193","25","UCAYALI","2501","CORONEL PORTILLO",218349,300081,72.7633538944485
"194","25","UCAYALI","2502","ATALAYA",16668,37688,44.2262789216727
"195","25","UCAYALI","2503","PADRE ABAD",28857,50760,56.8498817966903
"196","25","UCAYALI","2504","PURUS",1694,3017,56.1484918793503
